Group ID|Group Name|Treatment Sequence|Treatment Age|Treatment Type|Treatment Quantity|Treatment Unit|Treatment Application|Treatment Remarks|No of individuals in study|Species|Strain|Sex|Age|Group Endpoints|Individual ID|Group ID|Age at death|Pathology type|Pathology location|Pathology Description|
16-3-39|n/a,n/a|1|245|ß-rays|50|grays|External exposure|TU 17 Gy +10F Sr90 source 22.5 mm 3 Gy/min|9 (0 in ERA)|Livestock|Pig large white|Female|Unknown|erythema and moist desquamation scored over 9 weeks|No information on individuals available for this study
16-3-40|n/a,n/a|1|245|ß-rays|55|grays|External exposure|TU 17 Gy +10F Sr90 source 22.5 mm 3 Gy/min|9 (0 in ERA)|Livestock|Pig large white|Female|Unknown|erythema and moist desquamation scored over 9 weeks|No information on individuals available for this study
16-3-41|n/a,n/a|1|245|ß-rays|60|grays|External exposure|TU 17 Gy +10F Sr90 source 22.5 mm 3 Gy/min|9 (0 in ERA)|Livestock|Pig large white|Female|Unknown|erythema and moist desquamation scored over 9 weeks|No information on individuals available for this study
16-3-42|n/a,n/a|1|245|ß-rays|45|grays|External exposure|14 F+ TU 17 Gy Sr90 source 22.5 mm 3 Gy/min|16 (0 in ERA)|Livestock|Pig large white|Female|Unknown|erythema and moist desquamation scored over 9 weeks|No information on individuals available for this study
16-3-43|n/a,n/a|1|245|ß-rays|47.5|grays|External exposure|14 F+ TU 17 Gy Sr90 source 22.5 mm 3 Gy/min|16 (0 in ERA)|Livestock|Pig large white|Female|Unknown|erythema and moist desquamation scored over 9 weeks|No information on individuals available for this study
16-3-44|n/a,n/a|1|245|ß-rays|50|grays|External exposure|14 F+ TU 17 Gy Sr90 source 22.5 mm 3 Gy/min|15 (0 in ERA)|Livestock|Pig large white|Female|Unknown|erythema and moist desquamation scored over 9 weeks|No information on individuals available for this study
16-3-45|n/a,n/a|1|245|ß-rays|52.5|grays|External exposure|14 F+ TU 17 Gy Sr90 source 22.5 mm 3 Gy/min|15 (0 in ERA)|Livestock|Pig large white|Female|Unknown|erythema and moist desquamation scored over 9 weeks|No information on individuals available for this study
16-3-46|n/a,n/a|1|245|ß-rays|55|grays|External exposure|14 F+ TU 17 Gy Sr90 source 22.5 mm 3 Gy/min|14 (0 in ERA)|Livestock|Pig large white|Female|Unknown|erythema and moist desquamation scored over 9 weeks|No information on individuals available for this study
16-3-47|n/a,n/a|1|245|ß-rays|57.5|grays|External exposure|14 F+ TU 17 Gy Sr90 source 22.5 mm 3 Gy/min|15 (0 in ERA)|Livestock|Pig large white|Female|Unknown|erythema and moist desquamation scored over 9 weeks|No information on individuals available for this study
16-3-48|n/a,n/a|1|245|ß-rays|60|grays|External exposure|14 F+ TU 17 Gy Sr90 source 22.5 mm 3 Gy/min|14 (0 in ERA)|Livestock|Pig large white|Female|Unknown|erythema and moist desquamation scored over 9 weeks|No information on individuals available for this study
16-3-49|n/a,n/a|1|245|ß-rays|62.5|grays|External exposure|14 F+ TU 17 Gy Sr90 source 22.5 mm 3 Gy/min|14 (0 in ERA)|Livestock|Pig large white|Female|Unknown|erythema and moist desquamation scored over 9 weeks|No information on individuals available for this study
16-3-50|n/a,n/a|1|245|ß-rays|65|grays|External exposure|14 F+ TU 17 Gy Sr90 source 22.5 mm 3 Gy/min|14 (0 in ERA)|Livestock|Pig large white|Female|Unknown|erythema and moist desquamation scored over 9 weeks|No information on individuals available for this study
16-3-51|n/a,n/a|1|245|ß-rays|67.5|grays|External exposure|14 F+ TU 17 Gy Sr90 source 22.5 mm 3 Gy/min|15 (0 in ERA)|Livestock|Pig large white|Female|Unknown|erythema and moist desquamation scored over 9 weeks|No information on individuals available for this study
16-3-52|n/a,n/a|1|245|ß-rays|45|grays|External exposure|TU 17 Gy + 14 F Sr90 source 22.5 mm 3 Gy/min|10 (0 in ERA)|Livestock|Pig large white|Female|Unknown|erythema and moist desquamation scored over 9 weeks|No information on individuals available for this study
16-3-53|n/a,n/a|1|245|ß-rays|47.5|grays|External exposure|TU 17 Gy + 14 F Sr90 source 22.5 mm 3 Gy/min|9 (0 in ERA)|Livestock|Pig large white|Female|Unknown|erythema and moist desquamation scored over 9 weeks|No information on individuals available for this study
16-3-54|n/a,n/a|1|245|ß-rays|50|grays|External exposure|TU 17 Gy + 14 F Sr90 source 22.5 mm 3 Gy/min|10 (0 in ERA)|Livestock|Pig large white|Female|Unknown|erythema and moist desquamation scored over 9 weeks|No information on individuals available for this study
16-3-55|n/a,n/a|1|245|ß-rays|52.5|grays|External exposure|TU 17 Gy + 14 F Sr90 source 22.5 mm 3 Gy/min|9 (0 in ERA)|Livestock|Pig large white|Female|Unknown|erythema and moist desquamation scored over 9 weeks|No information on individuals available for this study
16-3-56|n/a,n/a|1|245|ß-rays|55|grays|External exposure|TU 17 Gy + 14 F Sr90 source 22.5 mm 3 Gy/min|9 (0 in ERA)|Livestock|Pig large white|Female|Unknown|erythema and moist desquamation scored over 9 weeks|No information on individuals available for this study
16-3-57|n/a,n/a|1|245|ß-rays|57.5|grays|External exposure|TU 17 Gy + 14 F Sr90 source 22.5 mm 3 Gy/min|9 (0 in ERA)|Livestock|Pig large white|Female|Unknown|erythema and moist desquamation scored over 9 weeks|No information on individuals available for this study
16-3-58|n/a,n/a|1|245|ß-rays|60|grays|External exposure|TU 17 Gy + 14 F Sr90 source 22.5 mm 3 Gy/min|9 (0 in ERA)|Livestock|Pig large white|Female|Unknown|erythema and moist desquamation scored over 9 weeks|No information on individuals available for this study
16-3-59|n/a,n/a|1|245|ß-rays|62.5|grays|External exposure|TU 17 Gy + 14 F Sr90 source 22.5 mm 3 Gy/min|9 (0 in ERA)|Livestock|Pig large white|Female|Unknown|erythema and moist desquamation scored over 9 weeks|No information on individuals available for this study
16-3-60|n/a,n/a|1|245|ß-rays|65|grays|External exposure|TU 17 Gy + 14 F Sr90 source 22.5 mm 3 Gy/min|9 (0 in ERA)|Livestock|Pig large white|Female|Unknown|erythema and moist desquamation scored over 9 weeks|No information on individuals available for this study
16-3-61|n/a,n/a|1|245|ß-rays|67.5|grays|External exposure|TU 17 Gy + 14 F Sr90 source 22.5 mm 3 Gy/min|9 (0 in ERA)|Livestock|Pig large white|Female|Unknown|erythema and moist desquamation scored over 9 weeks|No information on individuals available for this study
16-3-62|n/a,n/a|1|245|ß-rays|55|grays|External exposure|14 x2 F /0.5h Sr90 source 22.5 mm 3 Gy/min|12 (0 in ERA)|Livestock|Pig large white|Female|Unknown|erythema and moist desquamation scored over 9 weeks|No information on individuals available for this study
16-3-63|n/a,n/a|1|245|ß-rays|65|grays|External exposure|14 x2 F /0.5h Sr90 source 22.5 mm 3 Gy/min|12 (0 in ERA)|Livestock|Pig large white|Female|Unknown|erythema and moist desquamation scored over 9 weeks|No information on individuals available for this study
16-3-64|n/a,n/a|1|245|ß-rays|75|grays|External exposure|14 x2 F /0.5h Sr90 source 22.5 mm 3 Gy/min|10 (0 in ERA)|Livestock|Pig large white|Female|Unknown|erythema and moist desquamation scored over 9 weeks|No information on individuals available for this study
16-3-65|n/a,n/a|1|245|ß-rays|85|grays|External exposure|14 x2 F /0.5h Sr90 source 22.5 mm 3 Gy/min|10 (0 in ERA)|Livestock|Pig large white|Female|Unknown|erythema and moist desquamation scored over 9 weeks|No information on individuals available for this study
16-3-66|n/a,n/a|1|245|ß-rays|95|grays|External exposure|14 x2 F /0.5h Sr90 source 22.5 mm 3 Gy/min|10 (0 in ERA)|Livestock|Pig large white|Female|Unknown|erythema and moist desquamation scored over 9 weeks|No information on individuals available for this study
16-3-67|n/a,n/a|1|245|ß-rays|105|grays|External exposure|14 x2 F /0.5h Sr90 source 22.5 mm 3 Gy/min|10 (0 in ERA)|Livestock|Pig large white|Female|Unknown|erythema and moist desquamation scored over 9 weeks|No information on individuals available for this study
16-3-68|n/a,n/a|1|245|ß-rays|77|grays|External exposure|14 x2 F /1h Sr90 source 22.5 mm 3 Gy/min|10 (0 in ERA)|Livestock|Pig large white|Female|Unknown|erythema and moist desquamation scored over 9 weeks|No information on individuals available for this study
16-3-69|n/a,n/a|1|245|ß-rays|82|grays|External exposure|14 x2 F /1h Sr90 source 22.5 mm 3 Gy/min|10 (0 in ERA)|Livestock|Pig large white|Female|Unknown|erythema and moist desquamation scored over 9 weeks|No information on individuals available for this study
16-3-70|n/a,n/a|1|245|ß-rays|87|grays|External exposure|14 x2 F /1h Sr90 source 22.5 mm 3 Gy/min|12 (0 in ERA)|Livestock|Pig large white|Female|Unknown|erythema and moist desquamation scored over 9 weeks|No information on individuals available for this study
16-3-71|n/a,n/a|1|245|ß-rays|92|grays|External exposure|14 x2 F /1h Sr90 source 22.5 mm 3 Gy/min|10 (0 in ERA)|Livestock|Pig large white|Female|Unknown|erythema and moist desquamation scored over 9 weeks|No information on individuals available for this study
16-3-72|n/a,n/a|1|245|ß-rays|97|grays|External exposure|14 x2 F /1h Sr90 source 22.5 mm 3 Gy/min|9 (0 in ERA)|Livestock|Pig large white|Female|Unknown|erythema and moist desquamation scored over 9 weeks|No information on individuals available for this study
16-3-73|n/a,n/a|1|245|ß-rays|102|grays|External exposure|14 x2 F /1h Sr90 source 22.5 mm 3 Gy/min|11 (0 in ERA)|Livestock|Pig large white|Female|Unknown|erythema and moist desquamation scored over 9 weeks|No information on individuals available for this study
16-3-74|n/a,n/a|1|245|ß-rays|81|grays|External exposure|14 x2 F /2h Sr90 source 22.5 mm 3 Gy/min|11 (0 in ERA)|Livestock|Pig large white|Female|Unknown|erythema and moist desquamation scored over 9 weeks|No information on individuals available for this study
16-3-75|n/a,n/a|1|245|ß-rays|87|grays|External exposure|14 x2 F /2h Sr90 source 22.5 mm 3 Gy/min|9 (0 in ERA)|Livestock|Pig large white|Female|Unknown|erythema and moist desquamation scored over 9 weeks|No information on individuals available for this study
16-3-76|n/a,n/a|1|245|ß-rays|92|grays|External exposure|14 x2 F /2h Sr90 source 22.5 mm 3 Gy/min|10 (0 in ERA)|Livestock|Pig large white|Female|Unknown|erythema and moist desquamation scored over 9 weeks|No information on individuals available for this study
16-3-77|n/a,n/a|1|245|ß-rays|97|grays|External exposure|14 x2 F /2h Sr90 source 22.5 mm 3 Gy/min|12 (0 in ERA)|Livestock|Pig large white|Female|Unknown|erythema and moist desquamation scored over 9 weeks|No information on individuals available for this study
16-3-78|n/a,n/a|1|245|ß-rays|102|grays|External exposure|14 x2 F /2h Sr90 source 22.5 mm 3 Gy/min|10 (0 in ERA)|Livestock|Pig large white|Female|Unknown|erythema and moist desquamation scored over 9 weeks|No information on individuals available for this study
16-3-79|n/a,n/a|1|245|ß-rays|107|grays|External exposure|14 x2 F /2h Sr90 source 22.5 mm 3 Gy/min|10 (0 in ERA)|Livestock|Pig large white|Female|Unknown|erythema and moist desquamation scored over 9 weeks|No information on individuals available for this study
16-3-80|n/a,n/a|1|245|ß-rays|90|grays|External exposure|14 x2 F /4h Sr90 source 22.5 mm 3 Gy/min|9 (0 in ERA)|Livestock|Pig large white|Female|Unknown|erythema and moist desquamation scored over 9 weeks|No information on individuals available for this study
16-3-81|n/a,n/a|1|245|ß-rays|95|grays|External exposure|14 x2 F /4h Sr90 source 22.5 mm 3 Gy/min|11 (0 in ERA)|Livestock|Pig large white|Female|Unknown|erythema and moist desquamation scored over 9 weeks|No information on individuals available for this study
