Group ID|Group Name|Treatment Sequence|Treatment Age|Treatment Type|Treatment Quantity|Treatment Unit|Treatment Application|Treatment Remarks|No of individuals in study|Species|Strain|Sex|Age|Group Endpoints|Individual ID|Group ID|Age at death|Pathology type|Pathology location|Pathology Description|
1003-100-2|n/a,CR|1|n/a|Ra-226 chloride||unit code not relevant|not applicable or not supplied|Chemist Ra-226 includes physicists and labaratory technicians.|238 (238 in ERA)|Dog|Dog, Beagle|Both|Unknown|incomplete study!|1003-100-2-1306|2|22646|n/a|n/a|n/a|
1003-100-2|n/a,CR|1|n/a|Ra-226 chloride||unit code not relevant|not applicable or not supplied|Chemist Ra-226 includes physicists and labaratory technicians.|238 (238 in ERA)|Dog|Dog, Beagle|Both|Unknown|incomplete study!|1003-100-2-1307|2|21915|n/a|n/a|n/a|
1003-100-2|n/a,CR|1|n/a|Ra-226 chloride||unit code not relevant|not applicable or not supplied|Chemist Ra-226 includes physicists and labaratory technicians.|238 (238 in ERA)|Dog|Dog, Beagle|Both|Unknown|incomplete study!|1003-100-2-1308|2|14245|n/a|n/a|n/a|
1003-100-2|n/a,CR|1|n/a|Ra-226 chloride||unit code not relevant|not applicable or not supplied|Chemist Ra-226 includes physicists and labaratory technicians.|238 (238 in ERA)|Dog|Dog, Beagle|Both|Unknown|incomplete study!|1003-100-2-1313|2|32507|n/a|n/a|n/a|
1003-100-2|n/a,CR|1|n/a|Ra-226 chloride||unit code not relevant|not applicable or not supplied|Chemist Ra-226 includes physicists and labaratory technicians.|238 (238 in ERA)|Dog|Dog, Beagle|Both|Unknown|incomplete study!|1003-100-2-1330|2|26663|n/a|n/a|n/a|
1003-100-2|n/a,CR|1|n/a|Ra-226 chloride||unit code not relevant|not applicable or not supplied|Chemist Ra-226 includes physicists and labaratory technicians.|238 (238 in ERA)|Dog|Dog, Beagle|Both|Unknown|incomplete study!|1003-100-2-1336|2|33238|n/a|n/a|n/a|
1003-100-2|n/a,CR|1|n/a|Ra-226 chloride||unit code not relevant|not applicable or not supplied|Chemist Ra-226 includes physicists and labaratory technicians.|238 (238 in ERA)|Dog|Dog, Beagle|Both|Unknown|incomplete study!|1003-100-2-1341|2|35429|n/a|n/a|n/a|
1003-100-2|n/a,CR|1|n/a|Ra-226 chloride||unit code not relevant|not applicable or not supplied|Chemist Ra-226 includes physicists and labaratory technicians.|238 (238 in ERA)|Dog|Dog, Beagle|Both|Unknown|incomplete study!|1003-100-2-1342|2|33968|n/a|n/a|n/a|
1003-100-2|n/a,CR|1|n/a|Ra-226 chloride||unit code not relevant|not applicable or not supplied|Chemist Ra-226 includes physicists and labaratory technicians.|238 (238 in ERA)|Dog|Dog, Beagle|Both|Unknown|incomplete study!|1003-100-2-1347|2|26298|n/a|n/a|n/a|
1003-100-2|n/a,CR|1|n/a|Ra-226 chloride||unit code not relevant|not applicable or not supplied|Chemist Ra-226 includes physicists and labaratory technicians.|238 (238 in ERA)|Dog|Dog, Beagle|Both|Unknown|incomplete study!|1003-100-2-1352|2|22280|n/a|n/a|n/a|
1003-100-2|n/a,CR|1|n/a|Ra-226 chloride||unit code not relevant|not applicable or not supplied|Chemist Ra-226 includes physicists and labaratory technicians.|238 (238 in ERA)|Dog|Dog, Beagle|Both|Unknown|incomplete study!|1003-100-2-1356|2|22280|n/a|n/a|n/a|
1003-100-2|n/a,CR|1|n/a|Ra-226 chloride||unit code not relevant|not applicable or not supplied|Chemist Ra-226 includes physicists and labaratory technicians.|238 (238 in ERA)|Dog|Dog, Beagle|Both|Unknown|incomplete study!|1003-100-2-1368|2|22280|n/a|n/a|n/a|
1003-100-2|n/a,CR|1|n/a|Ra-226 chloride||unit code not relevant|not applicable or not supplied|Chemist Ra-226 includes physicists and labaratory technicians.|238 (238 in ERA)|Dog|Dog, Beagle|Both|Unknown|incomplete study!|1003-100-2-1404|2|25568|n/a|n/a|n/a|
1003-100-2|n/a,CR|1|n/a|Ra-226 chloride||unit code not relevant|not applicable or not supplied|Chemist Ra-226 includes physicists and labaratory technicians.|238 (238 in ERA)|Dog|Dog, Beagle|Both|Unknown|incomplete study!|1003-100-2-1405|2|26298|n/a|n/a|n/a|
1003-100-2|n/a,CR|1|n/a|Ra-226 chloride||unit code not relevant|not applicable or not supplied|Chemist Ra-226 includes physicists and labaratory technicians.|238 (238 in ERA)|Dog|Dog, Beagle|Both|Unknown|incomplete study!|1003-100-2-1406|2|24472|n/a|n/a|n/a|
1003-100-2|n/a,CR|1|n/a|Ra-226 chloride||unit code not relevant|not applicable or not supplied|Chemist Ra-226 includes physicists and labaratory technicians.|238 (238 in ERA)|Dog|Dog, Beagle|Both|Unknown|incomplete study!|1003-100-2-1407|2|23741|n/a|n/a|n/a|
1003-100-2|n/a,CR|1|n/a|Ra-226 chloride||unit code not relevant|not applicable or not supplied|Chemist Ra-226 includes physicists and labaratory technicians.|238 (238 in ERA)|Dog|Dog, Beagle|Both|Unknown|incomplete study!|1003-100-2-1408|2|26298|n/a|n/a|n/a|
1003-100-2|n/a,CR|1|n/a|Ra-226 chloride||unit code not relevant|not applicable or not supplied|Chemist Ra-226 includes physicists and labaratory technicians.|238 (238 in ERA)|Dog|Dog, Beagle|Both|Unknown|incomplete study!|1003-100-2-1409|2|27759|n/a|n/a|n/a|
1003-100-2|n/a,CR|1|n/a|Ra-226 chloride||unit code not relevant|not applicable or not supplied|Chemist Ra-226 includes physicists and labaratory technicians.|238 (238 in ERA)|Dog|Dog, Beagle|Both|Unknown|incomplete study!|1003-100-2-1410|2|25568|n/a|n/a|n/a|
1003-100-2|n/a,CR|1|n/a|Ra-226 chloride||unit code not relevant|not applicable or not supplied|Chemist Ra-226 includes physicists and labaratory technicians.|238 (238 in ERA)|Dog|Dog, Beagle|Both|Unknown|incomplete study!|1003-100-2-1411|2|23011|n/a|n/a|n/a|
