"o","l","source","analysis"
0.12,0.190613040629267,"mean","original"
0.13,0.210110072747645,"mean","original"
0.14,0.230045069130025,"mean","original"
0.15,0.250273046224675,"mean","original"
0.16,0.270647896317249,"mean","original"
0.17,0.291025131194746,"mean","original"
0.18,0.311264361980332,"mean","original"
0.19,0.331231469773848,"mean","original"
0.2,0.350800439384963,"mean","original"
0.21,0.369854844336576,"mean","original"
0.22,0.388288984991882,"mean","original"
0.23,0.406008692897736,"mean","original"
0.24,0.422931823191826,"mean","original"
0.25,0.438988463293704,"mean","original"
0.26,0.454120890288114,"mean","original"
0.27,0.468283311677284,"mean","original"
0.28,0.48144142482623,"mean","original"
0.29,0.493571829759104,"mean","original"
0.3,0.50466132828212,"mean","original"
0.31,0.514706139986432,"mean","original"
0.32,0.523711062765907,"mean","original"
0.33,0.531688602279937,"mean","original"
0.34,0.538658091473173,"mean","original"
0.35,0.544644817968927,"mean","original"
0.36,0.549679173989157,"mean","original"
0.37,0.553795840490405,"mean","original"
0.38,0.557033014501674,"mean","original"
0.39,0.559431686227249,"mean","original"
0.4,0.561034970354675,"mean","original"
0.41,0.561887494180956,"mean","original"
0.42,0.562034843628685,"mean","original"
0.43,0.561523066953857,"mean","original"
0.44,0.560398234920633,"mean","original"
0.45,0.558706055416904,"mean","original"
0.46,0.556491539877484,"mean","original"
0.47,0.553798718445925,"mean","original"
0.48,0.550670400515029,"mean","original"
0.49,0.547147977118339,"mean","original"
0.5,0.543271261575199,"mean","original"
0.51,0.539078364807011,"mean","original"
0.52,0.534605601817449,"mean","original"
0.53,0.529887425957178,"mean","original"
0.54,0.524956387753798,"mean","original"
0.55,0.519843115277307,"mean","original"
0.56,0.514576313213557,"mean","original"
0.57,0.509182778031301,"mean","original"
0.58,0.503687426843271,"mean","original"
0.59,0.498113337776035,"mean","original"
0.6,0.492481799870101,"mean","original"
0.61,0.486812370732043,"mean","original"
0.62,0.481122940349895,"mean","original"
0.63,0.475429799660722,"mean","original"
0.64,0.46974771262576,"mean","original"
0.65,0.464089990720651,"mean","original"
0.66,0.458468568890684,"mean","original"
0.67,0.452894082147192,"mean","original"
0.68,0.447375942099972,"mean","original"
0.69,0.4419224128235,"mean","original"
0.7,0.436540685550703,"mean","original"
0.71,0.431236951771663,"mean","original"
0.72,0.426016474389207,"mean","original"
0.73,0.420883656651033,"mean","original"
0.74,0.415842108635577,"mean","original"
0.75,0.410894711120709,"mean","original"
0.76,0.406043676709568,"mean","original"
0.77,0.401290608126745,"mean","original"
0.78,0.396636553632307,"mean","original"
0.79,0.39208205953012,"mean","original"
0.8,0.387627219772284,"mean","original"
0.81,0.383271722682441,"mean","original"
0.82,0.379014894839316,"mean","original"
0.83,0.374855742176235,"mean","original"
0.84,0.37079298836538,"mean","original"
0.85,0.366825110565367,"mean","original"
0.86,0.362950372619007,"mean","original"
0.87,0.359166855794492,"mean","original"
0.88,0.355472487167995,"mean","original"
0.89,0.351865065749232,"mean","original"
0.9,0.348342286453688,"mean","original"
0.91,0.344901762026455,"mean","original"
0.92,0.341541043023223,"mean","original"
0.93,0.338257635953245,"mean","original"
0.94,0.335049019688163,"mean","original"
0.95,0.331912660239032,"mean","original"
0.96,0.328846024001868,"mean","original"
0.97,0.325846589569054,"mean","original"
0.98,0.322911858202036,"mean","original"
0.99,0.32003936305667,"mean","original"
1,0.317226677250191,"mean","original"
1.01,0.314471420854589,"mean","original"
1.02,0.311771266898329,"mean","original"
1.03,0.309123946454052,"mean","original"
1.04,0.306527252886747,"mean","original"
1.05,0.303979045332904,"mean","original"
1.06,0.301477251477478,"mean","original"
1.07,0.299019869691914,"mean","original"
1.08,0.296604970592928,"mean","original"
1.09,0.294230698078001,"mean","original"
1.1,0.291895269890315,"mean","original"
1.11,0.289596977762152,"mean","original"
1.12,0.287334187183079,"mean","original"
1.13,0.285105336835299,"mean","original"
1.14,0.282908937736309,"mean","original"
1.15,0.280743572125516,"mean","original"
1.16,0.278607892128829,"mean","original"
1.17,0.276500618232813,"mean","original"
1.18,0.274420537597023,"mean","original"
1.19,0.272366502231126,"mean","original"
1.2,0.270337427060818,"mean","original"
1.21,0.268332287904719,"mean","original"
1.22,0.266350119382055,"mean","original"
1.23,0.264390012769232,"mean","original"
1.24,0.262451113821725,"mean","original"
1.25,0.260532620575651,"mean","original"
1.26,0.25863378114227,"mean","original"
1.27,0.256753891506982,"mean","original"
1.28,0.254892293343007,"mean","original"
1.29,0.253048371848849,"mean","original"
1.3,0.251221553617353,"mean","original"
1.31,0.249411304543216,"mean","original"
1.32,0.24761712777474,"mean","original"
1.33,0.245838561714775,"mean","original"
1.34,0.244075178075056,"mean","original"
1.35,0.242326579987193,"mean","original"
1.36,0.240592400173176,"mean","original"
1.37,0.238872299177414,"mean","original"
1.38,0.23716596366188,"mean","original"
1.39,0.235473104765465,"mean","original"
1.4,0.233793456528175,"mean","original"
1.41,0.232126774380335,"mean","original"
1.42,0.230472833696767,"mean","original"
1.43,0.228831428415516,"mean","original"
1.44,0.227202369720393,"mean","original"
1.45,0.225585484786443,"mean","original"
