"dog_number","birth_date","age","sex","group","abridged_Name","fractions","exposure_time","first_exposure_age","dose_per_minute","dose_per_fraction","total_dose","total_dose","daily_dose","days_exposed","first_exposure_age","interrupts",
"2173","1970-11-29","5","F","10","Stocks, Breeders, etc.","","","","","","","","","","","",
"2174","1970-11-29","1","M","10","Stocks, Breeders, etc.","","","","","","","","","","","",
"2175","1970-11-29","0","M","8400","Stocks, Breeders, etc.","","","","","","","","","","","",
"2176","1970-12-04","887","F","300","Stocks, Breeders, etc.","","","","","","","","","","","",
"2177","1970-12-04","272","F","10","Stocks, Breeders, etc.","","","","","","","","","","","",
"2178","1970-12-04","886","F","300","Stocks, Breeders, etc.","","","","","","","","","","","",
"2179","1970-12-04","810","F","300","Stocks, Breeders, etc.","","","","","","","","","","","",
"2180","1970-12-04","1062","F","2870","Gamma-Irradiation during Pregnancy","","","","","","","525.0","26","20","980","0",
"2181","1970-12-04","3836","F","2430","Life-Span: Varioious continous Gamma-Irradiations","","","","","","","1133.0","4","302","479","0",
"2182","1970-12-04","4948","F","2430","Life-Span: Varioious continous Gamma-Irradiations","","","","","","","1133.0","4","302","479","0",
"2183","1970-12-04","475","F","2860","Gamma-Irradiation during Pregnancy","","","","","","","153.0","13","12","463","0",
"2184","1970-12-31","860","F","300","Stocks, Breeders, etc.","","","","","","","","","","","",
"2185","1970-12-31","734","F","2850","Gamma-Irradiation during Pregnancy","","","","","","","443.0","8","59","469","0",
"2186","1970-12-31","3463","F","2430","Life-Span: Varioious continous Gamma-Irradiations","","","","","","","1133.0","4","302","452","0",
"2187","1970-12-31","1107","F","5800","Development of Techniques and Proceedures","","","","","","","765.0","13","60","590","0",
"2188","1970-12-31","735","M","5310","RadioIodine Effects on Thyroid and Adrenal Gland","","","","","","","","","","","",
"2189","1970-12-31","4324","M","2430","Life-Span: Varioious continous Gamma-Irradiations","","","","","","","1133.0","4","302","452","0",
"2190","1971-01-09","5329","F","100","Stocks, Breeders, etc.","","","","","","","","","","","",
"2191","1971-01-09","1502","F","220","Stocks, Breeders, etc.","","","","","","","","","","","",
"2192","1971-01-09","774","F","300","Stocks, Breeders, etc.","","","","","","","","","","","",
"2193","1971-01-09","5583","M","2430","Life-Span: Varioious continous Gamma-Irradiations","","","","","","","1133.0","4","302","443","0",
"2194","1971-01-09","84","M","10","Stocks, Breeders, etc.","","","","","","","","","","","",
"2195","1971-01-09","5092","M","2430","Life-Span: Varioious continous Gamma-Irradiations","","","","","","","1133.0","4","302","443","0",
"2196","1971-02-06","0","M","8400","Stocks, Breeders, etc.","","","","","","","","","","","",
"2197","1971-02-06","0","M","8400","Stocks, Breeders, etc.","","","","","","","","","","","",
"2198","1971-02-06","0","M","8400","Stocks, Breeders, etc.","","","","","","","","","","","",
"2199","1971-02-06","4255","F","2430","Life-Span: Varioious continous Gamma-Irradiations","","","","","","","1133.0","4","302","415","0",
"2200","1971-02-06","3888","M","2430","Life-Span: Varioious continous Gamma-Irradiations","","","","","","","1133.0","4","302","415","0",
"2201","1971-02-11","453","F","2860","Gamma-Irradiation during Pregnancy","","","","","","","472.0","13","37","404","0",
"2202","1971-02-11","469","M","10","Stocks, Breeders, etc.","","","","","","","","","","","",
"2203","1971-02-15","0","M","2955","Gamma-Irradiation during Pregnancy","","","","","","","225.0","4","60","-60","0",
"2204","1971-02-15","4734","F","2955","Gamma-Irradiation during Pregnancy","","","","","","","225.0","4","60","-60","0",
"2205","1971-02-15","90","F","2955","Gamma-Irradiation during Pregnancy","","","","","","","225.0","4","60","-60","0",
"2206","1971-02-15","5105","F","2955","Gamma-Irradiation during Pregnancy","","","","","","","225.0","4","60","-60","0",
"2207","1971-02-15","4308","M","2955","Gamma-Irradiation during Pregnancy","","","","","","","225.0","4","60","-60","0",
"2208","1971-02-15","4508","M","2955","Gamma-Irradiation during Pregnancy","","","","","","","225.0","4","60","-60","0",
"2209","1971-02-17","0","M","8400","Stocks, Breeders, etc.","","","","","","","","","","","",
"2210","1971-02-17","1463","F","220","Stocks, Breeders, etc.","","","","","","","","","","","",
"2211","1971-02-17","8","M","10","Stocks, Breeders, etc.","","","","","","","","","","","",
"2212","1971-02-24","2561","F","2955","Gamma-Irradiation during Pregnancy","","","","","","","218.0","4","58","-58","0",
"2213","1971-02-24","4949","M","2955","Gamma-Irradiation during Pregnancy","","","","","","","218.0","4","58","-58","0",
"2214","1971-02-24","3025","M","2955","Gamma-Irradiation during Pregnancy","","","","","","","218.0","4","58","-58","0",
"2215","1971-02-24","5014","M","2955","Gamma-Irradiation during Pregnancy","","","","","","","218.0","4","58","-58","0",
"2216","1971-02-24","4961","M","2955","Gamma-Irradiation during Pregnancy","","","","","","","218.0","4","58","-58","0",
"2217","1971-02-24","2411","M","2955","Gamma-Irradiation during Pregnancy","","","","","","","218.0","4","58","-58","0",
"2218","1971-03-04","0","M","8400","Stocks, Breeders, etc.","","","","","","","","","","","",
"2219","1971-03-04","0","M","8400","Stocks, Breeders, etc.","","","","","","","","","","","",
"2220","1971-03-04","536","F","220","Stocks, Breeders, etc.","","","","","","","","","","","",
"2221","1971-03-04","2982","F","220","Stocks, Breeders, etc.","","","","","","","","","","","",
"2222","1971-03-04","602","F","2860","Gamma-Irradiation during Pregnancy","","","","","","","497.0","13","39","414","0",
"2223","1971-03-04","651","M","5300","RadioIodine Effects on Thyroid and Adrenal Gland","","","","","","","1260.0","26","48","603","0",
"2224","1971-03-04","674","M","5300","RadioIodine Effects on Thyroid and Adrenal Gland","","","","","","","1864.0","26","71","603","0",
"2225","1971-03-04","4208","M","120","Stocks, Breeders, etc.","","","","","","","","","","","",
"2226","1971-03-04","739","M","5300","RadioIodine Effects on Thyroid and Adrenal Gland","","","","","","","1549.0","26","59","680","0",
"2227","1971-03-05","5542","F","2955","Gamma-Irradiation during Pregnancy","","","","","","","233.0","4","62","-62","0",
"2228","1971-03-05","2111","F","2955","Gamma-Irradiation during Pregnancy","","","","","","","233.0","4","62","-62","0",
"2229","1971-03-05","4992","M","2955","Gamma-Irradiation during Pregnancy","","","","","","","233.0","4","62","-62","0",
"2230","1971-03-05","1758","M","2955","Gamma-Irradiation during Pregnancy","","","","","","","233.0","4","62","-62","0",
"2231","1971-03-05","5212","M","2955","Gamma-Irradiation during Pregnancy","","","","","","","233.0","4","62","-62","0",
"2232","1971-03-09","4119","M","2955","Gamma-Irradiation during Pregnancy","","","","","","","221.0","4","59","-59","0",
"2233","1971-03-25","0","F","8400","Stocks, Breeders, etc.","","","","","","","","","","","",
"2234","1971-03-25","0","M","8400","Stocks, Breeders, etc.","","","","","","","","","","","",
"2235","1971-03-25","1","F","10","Stocks, Breeders, etc.","","","","","","","","","","","",
"2236","1971-03-25","86","M","10","Stocks, Breeders, etc.","","","","","","","","","","","",
"2237","1971-03-25","86","M","10","Stocks, Breeders, etc.","","","","","","","","","","","",
"2238","1971-04-07","0","F","8400","Stocks, Breeders, etc.","","","","","","","","","","","",
"2239","1971-04-07","0","M","8400","Stocks, Breeders, etc.","","","","","","","","","","","",
"2240","1971-04-07","1203","F","220","Stocks, Breeders, etc.","","","","","","","","","","","",
"2241","1971-04-07","500","F","2250","Life-Span: Varioious continous Gamma-Irradiations","","","","","","","1262.0","13","99","401","0",
"2242","1971-04-07","1203","F","10","Stocks, Breeders, etc.","","","","","","","","","","","",
"2243","1971-04-07","1","M","10","Stocks, Breeders, etc.","","","","","","","","","","","",
"2244","1971-04-07","19","M","10","Stocks, Breeders, etc.","","","","","","","","","","","",
"2245","1971-04-07","414","M","10","Stocks, Breeders, etc.","","","","","","","","","","","",
"2246","1971-04-07","15","M","10","Stocks, Breeders, etc.","","","","","","","","","","","",
"2247","1971-04-08","762","F","300","Stocks, Breeders, etc.","","","","","","","","","","","",
"2248","1971-04-08","538","F","2250","Life-Span: Varioious continous Gamma-Irradiations","","","","","","","1760.0","13","138","400","0",
"2249","1971-04-08","501","M","2250","Life-Span: Varioious continous Gamma-Irradiations","","","","","","","1288.0","13","101","400","0",
"2250","1971-04-08","551","M","2250","Life-Span: Varioious continous Gamma-Irradiations","","","","","","","1925.0","13","151","400","0",
"2251","1971-04-08","881","M","2150","","","","","","","","1497.0","26","57","820","0",
"2252","1971-04-08","534","M","2250","Life-Span: Varioious continous Gamma-Irradiations","","","","","","","1709.0","13","134","400","0",
"2253","1971-04-08","882","M","2150","","","","","","","","1497.0","26","57","820","0",
"2254","1971-05-04","4322","F","100","Stocks, Breeders, etc.","","","","","","","","","","","",
"2255","1971-05-04","1381","F","220","Stocks, Breeders, etc.","","","","","","","","","","","",
"2256","1971-05-04","12","F","10","Stocks, Breeders, etc.","","","","","","","","","","","",
"2257","1971-05-04","524","M","5310","RadioIodine Effects on Thyroid and Adrenal Gland","","","","","","","","","","","",
"2258","1971-06-11","1019","F","2840","Gamma-Irradiation during Pregnancy","","","","","","","229.0","4","61","958","0",
"2259","1971-06-11","997","F","2870","Gamma-Irradiation during Pregnancy","","","","","","","525.0","26","20","955","0",
"2260","1971-06-11","536","F","2860","Gamma-Irradiation during Pregnancy","","","","","","","459.0","13","36","500","0",
"2261","1971-06-11","1742","F","220","Stocks, Breeders, etc.","","","","","","","","","","","",
"2262","1971-06-11","625","F","5800","Development of Techniques and Proceedures","","","","","","","1619.0","13","127","479","0",
"2263","1971-06-11","537","M","5300","RadioIodine Effects on Thyroid and Adrenal Gland","","","","","","","866.0","26","33","504","0",
"2264","1971-06-24","1","F","10","Stocks, Breeders, etc.","","","","","","","","","","","",
"2265","1971-06-24","1718","F","8100","Stocks, Breeders, etc.","","","","","","","","","","","",
"2266","1971-06-24","1718","F","8100","Stocks, Breeders, etc.","","","","","","","","","","","",
"2267","1971-06-24","2531","M","210","Stocks, Breeders, etc.","","","","","","","","","","","",
"2268","1971-06-24","1246","M","10","Stocks, Breeders, etc.","","","","","","","","","","","",
"2269","1971-06-24","1027","M","10","Stocks, Breeders, etc.","","","","","","","","","","","",
"2270","1971-06-24","336","M","10","Stocks, Breeders, etc.","","","","","","","","","","","",
"2271","1971-06-24","79","M","100","Stocks, Breeders, etc.","","","","","","","","","","","",
"2272","1971-06-24","1718","M","10","Stocks, Breeders, etc.","","","","","","","","","","","",
"2273","1971-06-24","336","M","10","Stocks, Breeders, etc.","","","","","","","","","","","",
"2274","1971-06-30","1769","F","5700","Development of Techniques and Proceedures","","","","","","","","","","","",
"2275","1971-06-30","602","F","300","Stocks, Breeders, etc.","","","","","","","","","","","",
"2276","1971-06-30","1723","F","8100","Stocks, Breeders, etc.","","","","","","","","","","","",
"2277","1971-06-30","1352","F","220","Stocks, Breeders, etc.","","","","","","","","","","","",
"2278","1971-06-30","1225","F","220","Stocks, Breeders, etc.","","","","","","","","","","","",
"2279","1971-06-30","639","M","5310","RadioIodine Effects on Thyroid and Adrenal Gland","","","","","","","2022.0","26","77","562","0",
"2280","1971-07-06","0","M","8400","Stocks, Breeders, etc.","","","","","","","","","","","",
"2281","1971-07-06","324","M","10","Stocks, Breeders, etc.","","","","","","","","","","","",
"2282","1971-07-06","550","M","5310","RadioIodine Effects on Thyroid and Adrenal Gland","","","","","","","1864.0","26","71","479","0",
"2283","1971-07-06","878","M","2150","","","","","","","","1497.0","26","57","815","0",
"2284","1971-07-06","900","M","300","Stocks, Breeders, etc.","","","","","","","","","","","",
"2285","1971-07-06","654","M","2340","Life-Span: Varioious continous Gamma-Irradiations","","","","","","","1358.0","8","181","473","0",
"2286","1971-07-06","871","M","2150","","","","","","","","1470.0","26","56","815","0",
"2287","1971-07-06","5428","M","100","Stocks, Breeders, etc.","","","","","","","","","","","",
"2288","1971-07-07","636","F","2340","Life-Span: Varioious continous Gamma-Irradiations","","","","","","","1230.0","8","164","472","0",
"2289","1971-07-07","680","F","2340","Life-Span: Varioious continous Gamma-Irradiations","","","","","","","1500.0","8","200","472","0",
"2290","1971-07-07","804","M","300","Stocks, Breeders, etc.","","","","","","","","","","","",
"2291","1971-07-07","718","M","2340","Life-Span: Varioious continous Gamma-Irradiations","","","","","","","1500.0","8","200","472","0",
"2292","1971-07-07","807","M","2240","Life-Span: Varioious continous Gamma-Irradiations","","","","","","","1339.0","13","105","702","0",
"2293","1971-07-07","4052","M","2340","Life-Span: Varioious continous Gamma-Irradiations","","","","","","","1500.0","8","200","472","0",
"2294","1971-07-08","680","F","2340","Life-Span: Varioious continous Gamma-Irradiations","","","","","","","1500.0","8","200","471","0",
"2295","1971-07-08","3640","F","2340","Life-Span: Varioious continous Gamma-Irradiations","","","","","","","1500.0","8","200","471","0",
"2296","1971-07-08","1715","F","8100","Stocks, Breeders, etc.","","","","","","","","","","","",
"2297","1971-07-08","2856","F","220","Stocks, Breeders, etc.","","","","","","","","","","","",
"2298","1971-07-08","5","M","10","Stocks, Breeders, etc.","","","","","","","","","","","",
"2299","1971-07-08","322","M","10","Stocks, Breeders, etc.","","","","","","","","","","","",
"2300","1971-07-08","4317","M","2340","Life-Span: Varioious continous Gamma-Irradiations","","","","","","","1500.0","8","200","716","0",
"2301","1971-07-19","0","F","8400","Stocks, Breeders, etc.","","","","","","","","","","","",
"2302","1971-07-19","0","M","8400","Stocks, Breeders, etc.","","","","","","","","","","","",
"2303","1971-07-24","2840","F","220","Stocks, Breeders, etc.","","","","","","","","","","","",
"2304","1971-08-05","15","M","2966","Gamma-Irradiation during Pregnancy","","","","","","","435.0","8","58","-58","0",
"2305","1971-08-05","84","M","2966","Gamma-Irradiation during Pregnancy","","","","","","","435.0","8","58","-58","0",
"2306","1971-08-05","12","M","2966","Gamma-Irradiation during Pregnancy","","","","","","","435.0","8","58","-58","0",
"2307","1971-08-05","3046","M","2966","Gamma-Irradiation during Pregnancy","","","","","","","435.0","8","58","-58","0",
"2308","1971-09-02","0","M","8400","Stocks, Breeders, etc.","","","","","","","","","","","",
"2309","1971-09-02","0","M","8400","Stocks, Breeders, etc.","","","","","","","","","","","",
"2310","1971-09-02","1065","F","6900","Hematological Changes","","","","","","","","","","","",
"2311","1971-09-02","5615","F","100","Stocks, Breeders, etc.","","","","","","","","","","","",
"2312","1971-09-05","0","F","8400","Stocks, Breeders, etc.","","","","","","","","","","","",
"2313","1971-09-05","0","F","8400","Stocks, Breeders, etc.","","","","","","","","","","","",
"2314","1971-09-05","0","M","8400","Stocks, Breeders, etc.","","","","","","","","","","","",
"2315","1971-09-05","2243","F","220","Stocks, Breeders, etc.","","","","","","","","","","","",
"2316","1971-09-05","479","F","10","Stocks, Breeders, etc.","","","","","","","","","","","",
"2317","1971-09-05","1604","F","2850","Gamma-Irradiation during Pregnancy","","","","","","","465.0","8","62","1486","0",
"2318","1971-09-05","753","M","2240","Life-Span: Varioious continous Gamma-Irradiations","","","","","","","1415.0","13","111","642","0",
"2319","1971-09-20","0","M","8400","Stocks, Breeders, etc.","","","","","","","","","","","",
"2320","1971-09-20","4","F","10","Stocks, Breeders, etc.","","","","","","","","","","","",
"2321","1971-09-20","4","F","10","Stocks, Breeders, etc.","","","","","","","","","","","",
"2322","1971-09-20","1233","F","220","Stocks, Breeders, etc.","","","","","","","","","","","",
"2323","1971-09-20","3897","F","2240","Life-Span: Varioious continous Gamma-Irradiations","","","","","","","1492.0","13","117","452","0",
"2324","1971-09-20","248","M","10","Stocks, Breeders, etc.","","","","","","","","","","","",
"2325","1971-09-20","595","M","2240","Life-Span: Varioious continous Gamma-Irradiations","","","","","","","1492.0","13","117","452","0",
"2326","1971-09-20","248","M","10","Stocks, Breeders, etc.","","","","","","","","","","","",
"2327","1971-10-10","6","F","10","Stocks, Breeders, etc.","","","","","","","","","","","",
"2328","1971-10-10","995","F","6900","Hematological Changes","","","","","","","","","","","",
"2329","1971-10-10","2","F","10","Stocks, Breeders, etc.","","","","","","","","","","","",
"2330","1971-10-10","3832","F","2240","Life-Span: Varioious continous Gamma-Irradiations","","","","","","","1492.0","13","117","432","0",
"2331","1971-10-10","1790","F","2240","Life-Span: Varioious continous Gamma-Irradiations","","","","","","","1492.0","13","117","432","0",
"2332","1971-10-10","4523","M","2340","Life-Span: Varioious continous Gamma-Irradiations","","","","","","","1500.0","8","200","622","0",
"2333","1971-10-10","3092","M","2240","Life-Span: Varioious continous Gamma-Irradiations","","","","","","","1492.0","13","117","432","0",
"2334","1971-10-29","0","M","8400","Stocks, Breeders, etc.","","","","","","","","","","","",
"2335","1971-10-29","5571","M","100","Stocks, Breeders, etc.","","","","","","","","","","","",
"2336","1971-10-29","209","M","10","Stocks, Breeders, etc.","","","","","","","","","","","",
"2337","1971-10-29","3914","M","2240","Life-Span: Varioious continous Gamma-Irradiations","","","","","","","1492.0","13","117","413","0",
"2338","1971-10-29","571","M","2240","Life-Span: Varioious continous Gamma-Irradiations","","","","","","","1492.0","13","117","413","0",
"2339","1971-11-29","0","F","8400","Stocks, Breeders, etc.","","","","","","","","","","","",
"2340","1971-11-29","0","M","8400","Stocks, Breeders, etc.","","","","","","","","","","","",
"2341","1971-11-29","0","M","8400","Stocks, Breeders, etc.","","","","","","","","","","","",
"2342","1971-11-29","2446","F","2820","Gamma-Irradiation during Pregnancy","","","","","","","43.0","1","57","2387","0",
"2343","1971-11-29","2509","F","2830","Gamma-Irradiation during Pregnancy","","","","","","","114.0","2","61","2391","0",
"2344","1971-11-29","1560","M","8100","Stocks, Breeders, etc.","","","","","","","","","","","",
"2345","1971-11-29","1560","M","8100","Stocks, Breeders, etc.","","","","","","","","","","","",
"2346","1971-11-29","732","M","2150","","","","","","","","1497.0","26","57","669","0",
"2347","1971-12-25","649","F","2240","Life-Span: Varioious continous Gamma-Irradiations","","","","","","","1492.0","13","117","531","0",
"2348","1971-12-25","3334","F","2340","Life-Span: Varioious continous Gamma-Irradiations","","","","","","","1500.0","8","200","546","0",
"2349","1971-12-25","4723","M","2240","Life-Span: Varioious continous Gamma-Irradiations","","","","","","","1492.0","13","117","531","0",
"2350","1971-12-29","627","F","2240","Life-Span: Varioious continous Gamma-Irradiations","","","","","","","1275.0","13","100","527","0",
"2351","1971-12-29","840","F","2840","Gamma-Irradiation during Pregnancy","","","","","","","225.0","4","60","758","0",
"2352","1971-12-29","890","F","10","Stocks, Breeders, etc.","","","","","","","","","","","",
"2353","1971-12-29","4377","M","100","Stocks, Breeders, etc.","","","","","","","","","","","",
"2354","1972-01-09","5227","F","2430","Life-Span: Varioious continous Gamma-Irradiations","","","","","","","1058.0","4","282","435","0",
"2355","1972-01-09","2932","F","2430","Life-Span: Varioious continous Gamma-Irradiations","","","","","","","1058.0","4","282","435","0",
"2356","1972-01-09","4110","F","2430","Life-Span: Varioious continous Gamma-Irradiations","","","","","","","1058.0","4","282","435","0",
"2357","1972-01-09","5199","M","2430","Life-Span: Varioious continous Gamma-Irradiations","","","","","","","1058.0","4","282","435","0",
"2358","1972-01-09","3901","M","2430","Life-Span: Varioious continous Gamma-Irradiations","","","","","","","1058.0","4","282","435","0",
"2359","1972-01-09","3932","M","2430","Life-Span: Varioious continous Gamma-Irradiations","","","","","","","1058.0","4","282","435","0",
"2360","1972-01-09","4756","M","2430","Life-Span: Varioious continous Gamma-Irradiations","","","","","","","1058.0","4","282","435","0",
"2361","1972-01-25","1","F","10","Stocks, Breeders, etc.","","","","","","","","","","","",
"2362","1972-01-25","2320","F","220","Stocks, Breeders, etc.","","","","","","","","","","","",
"2363","1972-01-25","2668","F","220","Stocks, Breeders, etc.","","","","","","","","","","","",
"2364","1972-01-25","2668","F","220","Stocks, Breeders, etc.","","","","","","","","","","","",
"2365","1972-01-25","2668","F","220","Stocks, Breeders, etc.","","","","","","","","","","","",
"2366","1972-01-25","2","M","10","Stocks, Breeders, etc.","","","","","","","","","","","",
"2367","1972-01-25","3","M","10","Stocks, Breeders, etc.","","","","","","","","","","","",
"2368","1972-01-25","2","M","10","Stocks, Breeders, etc.","","","","","","","","","","","",
"2369","1972-02-11","4753","F","2430","Life-Span: Varioious continous Gamma-Irradiations","","","","","","","1058.0","4","282","402","0",
"2370","1972-02-11","1333","F","2430","Life-Span: Varioious continous Gamma-Irradiations","","","","","","","1058.0","4","282","402","0",
"2371","1972-02-11","2638","F","220","Stocks, Breeders, etc.","","","","","","","","","","","",
"2372","1972-02-11","1758","M","100","Stocks, Breeders, etc.","","","","","","","","","","","",
"2373","1972-02-11","4977","M","2430","Life-Span: Varioious continous Gamma-Irradiations","","","","","","","1058.0","4","282","402","0",
"2374","1972-02-11","1150","M","2150","","","","","","","","1497.0","26","57","427","0",
"2375","1972-02-14","2635","F","220","Stocks, Breeders, etc.","","","","","","","","","","","",
"2376","1972-02-14","1494","F","8100","Stocks, Breeders, etc.","","","","","","","","","","","",
"2377","1972-02-14","2327","F","2340","Life-Span: Varioious continous Gamma-Irradiations","","","","","","","1500.0","8","200","495","0",
"2378","1972-02-14","593","F","2240","Life-Span: Varioious continous Gamma-Irradiations","","","","","","","1441.0","13","113","480","0",
"2379","1972-02-14","509","M","2150","","","","","","","","1497.0","26","57","424","0",
"2380","1972-02-14","5397","M","2340","Life-Span: Varioious continous Gamma-Irradiations","","","","","","","1500.0","8","200","495","0",
"2381","1972-02-15","0","F","8400","Stocks, Breeders, etc.","","","","","","","","","","","",
"2382","1972-02-15","3","M","10","Stocks, Breeders, etc.","","","","","","","","","","","",
"2383","1972-03-02","2831","F","2340","Life-Span: Varioious continous Gamma-Irradiations","","","","","","","1500.0","8","200","478","0",
"2384","1972-03-02","571","F","2240","Life-Span: Varioious continous Gamma-Irradiations","","","","","","","1377.0","13","108","463","0",
"2385","1972-03-02","573","M","2240","Life-Span: Varioious continous Gamma-Irradiations","","","","","","","1403.0","13","110","463","0",
"2386","1972-03-02","684","M","2340","Life-Span: Varioious continous Gamma-Irradiations","","","","","","","1500.0","8","200","478","0",
"2387","1972-03-23","0","F","2966","Gamma-Irradiation during Pregnancy","","","","","","","450.0","8","60","-60","0",
"2388","1972-03-23","0","M","2966","Gamma-Irradiation during Pregnancy","","","","","","","450.0","8","60","-60","0",
"2389","1972-03-23","2815","F","2966","Gamma-Irradiation during Pregnancy","","","","","","","450.0","8","60","-60","0",
"2390","1972-03-23","2815","M","2966","Gamma-Irradiation during Pregnancy","","","","","","","450.0","8","60","-60","0",
"2391","1972-03-29","2262","F","2340","Life-Span: Varioious continous Gamma-Irradiations","","","","","","","1500.0","8","200","451","0",
"2392","1972-03-29","3206","F","2340","Life-Span: Varioious continous Gamma-Irradiations","","","","","","","1500.0","8","200","451","0",
"2393","1972-03-29","5053","F","100","Stocks, Breeders, etc.","","","","","","","","","","","",
"2394","1972-03-29","667","F","2340","Life-Span: Varioious continous Gamma-Irradiations","","","","","","","1500.0","8","200","451","0",
"2395","1972-03-29","1751","F","250","Hematological Changes","","","","","","","","","","","",
"2396","1972-03-29","313","M","10","Stocks, Breeders, etc.","","","","","","","","","","","",
"2397","1972-03-29","717","M","2340","Life-Span: Varioious continous Gamma-Irradiations","","","","","","","1500.0","8","200","451","0",
"2398","1972-04-07","9","F","10","Stocks, Breeders, etc.","","","","","","","","","","","",
"2399","1972-04-07","304","M","10","Stocks, Breeders, etc.","","","","","","","","","","","",
"2400","1972-04-19","0","M","8400","Stocks, Breeders, etc.","","","","","","","","","","","",
"2401","1972-04-19","0","M","8400","Stocks, Breeders, etc.","","","","","","","","","","","",
"2402","1972-04-19","0","M","8400","Stocks, Breeders, etc.","","","","","","","","","","","",
"2403","1972-04-19","3214","F","2340","Life-Span: Varioious continous Gamma-Irradiations","","","","","","","1500.0","8","200","430","0",
"2404","1972-04-19","969","F","2340","Life-Span: Varioious continous Gamma-Irradiations","","","","","","","1500.0","8","200","430","0",
"2405","1972-04-19","2471","M","2340","Life-Span: Varioious continous Gamma-Irradiations","","","","","","","1500.0","8","200","430","0",
"2406","1972-04-19","4061","M","2340","Life-Span: Varioious continous Gamma-Irradiations","","","","","","","1500.0","8","200","430","0",
"2407","1972-04-27","0","U","2975","Gamma-Irradiation during Pregnancy","","","","","","","472.0","13","37","-37","0",
"2408","1972-04-27","0","F","2975","Gamma-Irradiation during Pregnancy","","","","","","","472.0","13","37","-37","0",
"2409","1972-04-27","0","M","2975","Gamma-Irradiation during Pregnancy","","","","","","","472.0","13","37","-37","0",
"2410","1972-04-27","0","M","2975","Gamma-Irradiation during Pregnancy","","","","","","","472.0","13","37","-37","0",
"2411","1972-04-27","0","M","2975","Gamma-Irradiation during Pregnancy","","","","","","","472.0","13","37","-37","0",
"2412","1972-04-27","0","F","2975","Gamma-Irradiation during Pregnancy","","","","","","","472.0","13","37","-37","0",
"2413","1972-04-27","2","M","2975","Gamma-Irradiation during Pregnancy","","","","","","","472.0","13","37","-37","0",
"2414","1972-04-27","5","M","2975","Gamma-Irradiation during Pregnancy","","","","","","","472.0","13","37","-37","0",
"2415","1972-05-06","3450","F","2975","Gamma-Irradiation during Pregnancy","","","","","","","523.0","13","41","-41","0",
"2416","1972-05-06","5471","F","2975","Gamma-Irradiation during Pregnancy","","","","","","","523.0","13","41","-41","0",
"2417","1972-05-06","18","M","2975","Gamma-Irradiation during Pregnancy","","","","","","","523.0","13","41","-41","0",
"2418","1972-05-06","4898","M","2975","Gamma-Irradiation during Pregnancy","","","","","","","523.0","13","41","-41","0",
"2419","1972-05-06","5577","M","2975","Gamma-Irradiation during Pregnancy","","","","","","","523.0","13","41","-41","0",
"2420","1972-05-06","5571","M","2975","Gamma-Irradiation during Pregnancy","","","","","","","523.0","13","41","-41","0",
"2421","1972-05-11","0","F","8400","Stocks, Breeders, etc.","","","","","","","","","","","",
"2422","1972-05-11","1396","F","8100","Stocks, Breeders, etc.","","","","","","","","","","","",
"2423","1972-05-11","1396","F","20","Stocks, Breeders, etc.","","","","","","","","","","","",
"2424","1972-05-11","1349","F","20","Stocks, Breeders, etc.","","","","","","","","","","","",
"2425","1972-05-11","1396","M","20","Stocks, Breeders, etc.","","","","","","","","","","","",
"2426","1972-05-11","1396","M","20","Stocks, Breeders, etc.","","","","","","","","","","","",
"2427","1972-05-13","0","F","8400","Stocks, Breeders, etc.","","","","","","","","","","","",
"2428","1972-05-30","2117","M","2975","Gamma-Irradiation during Pregnancy","","","","","","","497.0","13","39","-39","0",
"2429","1972-05-30","3075","F","2975","Gamma-Irradiation during Pregnancy","","","","","","","497.0","13","39","-39","0",
"2430","1972-05-30","1979","F","2975","Gamma-Irradiation during Pregnancy","","","","","","","497.0","13","39","-39","0",
"2431","1972-05-30","5867","F","2975","Gamma-Irradiation during Pregnancy","","","","","","","497.0","13","39","-39","0",
"2432","1972-05-30","4446","M","2975","Gamma-Irradiation during Pregnancy","","","","","","","497.0","13","39","-39","0",
"2433","1972-06-03","1","F","2975","Gamma-Irradiation during Pregnancy","","","","","","","523.0","13","41","-41","0",
"2434","1972-06-03","3158","F","2975","Gamma-Irradiation during Pregnancy","","","","","","","523.0","13","41","-41","0",
"2435","1972-06-03","4288","F","2975","Gamma-Irradiation during Pregnancy","","","","","","","523.0","13","41","-41","0",
"2436","1972-06-03","4805","F","2975","Gamma-Irradiation during Pregnancy","","","","","","","523.0","13","41","-41","0",
"2437","1972-06-03","3341","F","2975","Gamma-Irradiation during Pregnancy","","","","","","","523.0","13","41","-41","0",
"2438","1972-06-03","4797","M","2975","Gamma-Irradiation during Pregnancy","","","","","","","523.0","13","41","-41","0",
"2439","1972-06-03","4330","M","2975","Gamma-Irradiation during Pregnancy","","","","","","","523.0","13","41","-41","0",
"2440","1972-06-07","4258","F","2975","Gamma-Irradiation during Pregnancy","","","","","","","510.0","13","40","-40","0",
"2441","1972-06-07","3194","F","2975","Gamma-Irradiation during Pregnancy","","","","","","","510.0","13","40","-40","0",
"2442","1972-06-07","4966","M","2975","Gamma-Irradiation during Pregnancy","","","","","","","510.0","13","40","-40","0",
"2443","1972-06-07","4166","M","2975","Gamma-Irradiation during Pregnancy","","","","","","","510.0","13","40","-40","0",
