"dog_number","birth_date","age","sex","group","abridged_Name","fractions","exposure_time","first_exposure_age","dose_per_minute","dose_per_fraction","total_dose","total_dose","daily_dose","days_exposed","first_exposure_age","interrupts",
"171","1958-06-01","738","F","10","Stocks, Breeders, etc.","","","","","","","","","","","",
"172","1960-07-17","3538","M","7000","Stocks, Breeders, etc.","","","","","","","","","","","",
"173","1960-07-17","3637","M","6000","RadioIodine Effects on Thyroid and Adrenal Gland","","","","","","","","","","","",
"174","1960-07-17","3651","M","6000","RadioIodine Effects on Thyroid and Adrenal Gland","","","","","","","","","","","",
"175","1960-07-17","4","M","10","Stocks, Breeders, etc.","","","","","","","","","","","",
"176","1960-08-22","1256","F","5100","Acute Exposure and Reticuloendothelial System","1","30.0","408","8.1","244.0","244.0","","","","","",
"177","1960-08-22","1299","F","5100","Acute Exposure and Reticuloendothelial System","1","30.0","408","8.1","244.0","244.0","","","","","",
"178","1960-08-22","1297","M","5100","Acute Exposure and Reticuloendothelial System","","","","","","","","","","","",
"179","1960-08-22","1305","M","5100","Acute Exposure and Reticuloendothelial System","","","","","","","","","","","",
"180","1960-08-22","308","M","10","Stocks, Breeders, etc.","","","","","","","","","","","",
"181","1960-02-11","1338","F","6000","RadioIodine Effects on Thyroid and Adrenal Gland","","","","","","","","","","","",
"182","1960-02-11","1338","F","220","Stocks, Breeders, etc.","","","","","","","","","","","",
"183","1960-02-11","1508","M","5900","","","","","","","","","","","","",
"184","1960-02-11","338","F","10","Stocks, Breeders, etc.","","","","","","","","","","","",
"185","1959-06-18","2781","F","220","Stocks, Breeders, etc.","","","","","","","","","","","",
"186","1959-06-18","3361","F","220","Stocks, Breeders, etc.","","","","","","","","","","","",
"187","1959-06-18","3652","M","6400","RadioIodine Effects on Thyroid and Adrenal Gland","","","","","","","","","","","",
"188","1960-08-23","1298","F","5100","Acute Exposure and Reticuloendothelial System","1","30.0","407","8.1","244.0","244.0","","","","","",
"189","1960-08-23","1302","F","5100","Acute Exposure and Reticuloendothelial System","1","30.0","407","8.1","244.0","244.0","","","","","",
"190","1960-04-11","0","F","8400","Stocks, Breeders, etc.","","","","","","","","","","","",
"191","1960-08-23","1302","F","5100","Acute Exposure and Reticuloendothelial System","1","30.0","407","8.1","244.0","244.0","","","","","",
"192","1960-08-23","426","F","5100","Acute Exposure and Reticuloendothelial System","1","30.0","407","8.1","244.0","244.0","","","","","",
"193","1960-09-13","3836","M","6000","RadioIodine Effects on Thyroid and Adrenal Gland","","","","","","","","","","","",
"194","1960-09-13","4","M","10","Stocks, Breeders, etc.","","","","","","","","","","","",
"195","1960-09-13","8","F","10","Stocks, Breeders, etc.","","","","","","","","","","","",
"196","1960-09-13","0","F","8400","Stocks, Breeders, etc.","","","","","","","","","","","",
"197","1960-09-13","0","F","8400","Stocks, Breeders, etc.","","","","","","","","","","","",
"198","1960-09-28","0","M","8400","Stocks, Breeders, etc.","","","","","","","","","","","",
"199","1960-09-28","0","F","8400","Stocks, Breeders, etc.","","","","","","","","","","","",
"200","1960-09-28","1968","F","7500","Development of Techniques and Proceedures","","","","","","","","","","","",
"201","1960-09-28","1969","M","7500","Development of Techniques and Proceedures","","","","","","","","","","","",
"202","1960-09-30","5629","M","100","Stocks, Breeders, etc.","","","","","","","","","","","",
"203","1960-09-30","1242","F","220","Stocks, Breeders, etc.","","","","","","","","","","","",
"204","1960-09-30","3198","F","10","Stocks, Breeders, etc.","","","","","","","","","","","",
"205","1960-09-30","3639","F","7100","Development of Techniques and Proceedures","","","","","","","","","","","",
"206","1960-09-30","3826","F","7100","Development of Techniques and Proceedures","","","","","","","","","","","",
"207","1960-10-01","0","M","8400","Stocks, Breeders, etc.","","","","","","","","","","","",
"208","1960-10-01","0","F","8400","Stocks, Breeders, etc.","","","","","","","","","","","",
"209","1960-10-01","3825","F","7100","Development of Techniques and Proceedures","","","","","","","","","","","",
"210","1960-10-01","3741","F","7100","Development of Techniques and Proceedures","","","","","","","","","","","",
"211","1960-10-01","3741","F","7100","Development of Techniques and Proceedures","","","","","","","","","","","",
"212","1960-10-02","5","F","10","Stocks, Breeders, etc.","","","","","","","","","","","",
"213","1960-10-02","1972","F","220","Stocks, Breeders, etc.","","","","","","","","","","","",
"214","1960-10-02","423","M","10","Stocks, Breeders, etc.","","","","","","","","","","","",
"215","1960-10-02","3568","M","6000","RadioIodine Effects on Thyroid and Adrenal Gland","","","","","","","","","","","",
"216","1960-10-02","1975","M","7500","Development of Techniques and Proceedures","","","","","","","","","","","",
"217","1960-10-12","0","M","8400","Stocks, Breeders, etc.","","","","","","","","","","","",
"218","1960-10-12","3730","F","7100","Development of Techniques and Proceedures","","","","","","","","","","","",
"219","1960-10-12","2745","M","7200","Hematological Changes","","","","","","","","","","","",
"220","1960-10-12","4804","M","100","Stocks, Breeders, etc.","","","","","","","","","","","",
"221","1960-10-12","3731","M","7100","Development of Techniques and Proceedures","","","","","","","","","","","",
"222","1958-10-21","2680","M","7500","Development of Techniques and Proceedures","","","","","","","","","","","",
"223","1960-10-18","3","F","10","Stocks, Breeders, etc.","","","","","","","","","","","",
"224","1960-10-18","8","M","10","Stocks, Breeders, etc.","","","","","","","","","","","",
"225","1960-11-04","2449","F","220","Stocks, Breeders, etc.","","","","","","","","","","","",
"226","1960-11-04","3163","F","10","Stocks, Breeders, etc.","","","","","","","","","","","",
"227","1960-11-04","1","M","10","Stocks, Breeders, etc.","","","","","","","","","","","",
"228","1960-11-19","1","M","10","Stocks, Breeders, etc.","","","","","","","","","","","",
"229","1960-11-20","2676","F","220","Stocks, Breeders, etc.","","","","","","","","","","","",
"230","1960-11-20","3181","F","220","Stocks, Breeders, etc.","","","","","","","","","","","",
"231","1960-11-20","3151","F","220","Stocks, Breeders, etc.","","","","","","","","","","","",
"232","1960-11-20","997","M","10","Stocks, Breeders, etc.","","","","","","","","","","","",
"233","1960-11-20","3210","M","6400","RadioIodine Effects on Thyroid and Adrenal Gland","","","","","","","","","","","",
"234","1960-11-20","3790","M","6000","RadioIodine Effects on Thyroid and Adrenal Gland","","","","","","","","","","","",
"235","1960-11-27","0","M","8400","Stocks, Breeders, etc.","","","","","","","","","","","",
"236","1960-11-27","0","M","8400","Stocks, Breeders, etc.","","","","","","","","","","","",
"237","1960-11-27","445","F","5500","Life-Span: Single Injection of Cesium-137","","","","","","","","","","","",
"238","1960-11-27","5006","M","100","Stocks, Breeders, etc.","","","","","","","","","","","",
"239","1960-11-27","4169","M","5500","Life-Span: Single Injection of Cesium-137","","","","","","","","","","","",
"240","1960-11-27","3148","F","10","Stocks, Breeders, etc.","","","","","","","","","","","",
"241","1960-11-27","448","F","5500","Life-Span: Single Injection of Cesium-137","","","","","","","","","","","",
"242","1960-11-27","23","M","10","Stocks, Breeders, etc.","","","","","","","","","","","",
"243","1960-11-27","452","M","5500","Life-Span: Single Injection of Cesium-137","","","","","","","","","","","",
"244","1960-07-22","3505","F","220","Stocks, Breeders, etc.","","","","","","","","","","","",
"245","1960-07-18","418","M","5100","Acute Exposure and Reticuloendothelial System","1","30.0","400","8.1","244.0","244.0","","","","","",
"246","1960-08-17","3780","F","5500","Life-Span: Single Injection of Cesium-137","","","","","","","","","","","",
"247","1960-08-17","2721","F","5500","Life-Span: Single Injection of Cesium-137","","","","","","","","","","","",
"248","1960-08-17","434","M","5900","","","","","","","","","","","","",
"249","1960-08-17","3750","M","5900","","","","","","","","","","","","",
"250","1960-07-27","1330","M","5100","Acute Exposure and Reticuloendothelial System","1","30.0","391","8.1","244.0","244.0","","","","","",
"251","1960-07-27","415","M","5100","Acute Exposure and Reticuloendothelial System","1","30.0","391","8.1","244.0","244.0","","","","","",
"252","1960-07-27","414","M","5100","Acute Exposure and Reticuloendothelial System","1","30.0","391","8.1","244.0","244.0","","","","","",
"253","1960-06-30","537","F","5900","","","","","","","","","","","","",
"254","1960-06-30","580","F","5900","","","","","","","","","","","","",
"255","1960-06-30","3798","F","5900","","","","","","","","","","","","",
"256","1960-08-11","3445","F","5500","Life-Span: Single Injection of Cesium-137","","","","","","","","","","","",
"257","1960-08-11","4012","F","5500","Life-Span: Single Injection of Cesium-137","","","","","","","","","","","",
"258","1960-08-11","3832","F","5500","Life-Span: Single Injection of Cesium-137","","","","","","","","","","","",
"259","1960-08-11","693","M","5900","","","","","","","","","","","","",
"260","1960-12-04","12","F","10","Stocks, Breeders, etc.","","","","","","","","","","","",
"261","1960-12-04","500","F","6800","Development of Techniques and Proceedures","","","","","","","","","","","",
"262","1960-12-04","3196","F","10","Stocks, Breeders, etc.","","","","","","","","","","","",
"263","1960-12-04","156","M","10","Stocks, Breeders, etc.","","","","","","","","","","","",
"264","1960-12-04","1621","M","10","Stocks, Breeders, etc.","","","","","","","","","","","",
"265","1960-12-04","297","M","10","Stocks, Breeders, etc.","","","","","","","","","","","",
"266","1960-12-04","246","M","10","Stocks, Breeders, etc.","","","","","","","","","","","",
"267","1961-01-23","112","F","10","Stocks, Breeders, etc.","","","","","","","","","","","",
"268","1961-01-23","112","F","10","Stocks, Breeders, etc.","","","","","","","","","","","",
"269","1961-01-23","112","M","10","Stocks, Breeders, etc.","","","","","","","","","","","",
"270","1961-02-10","67","F","7300","Development of Techniques and Proceedures","","","","","","","","","","","",
"271","1961-02-10","802","F","7300","Development of Techniques and Proceedures","","","","","","","","","","","",
"272","1961-02-10","3059","F","6400","RadioIodine Effects on Thyroid and Adrenal Gland","","","","","","","","","","","",
"273","1961-02-10","2944","F","5500","Life-Span: Single Injection of Cesium-137","","","","","","","","","","","",
"274","1961-02-10","82","M","7300","Development of Techniques and Proceedures","","","","","","","","","","","",
"275","1961-02-10","1207","M","6000","RadioIodine Effects on Thyroid and Adrenal Gland","","","","","","","","","","","",
"276","1961-03-04","0","F","7300","Development of Techniques and Proceedures","","","","","","","","","","","",
"277","1961-03-04","0","M","7300","Development of Techniques and Proceedures","","","","","","","","","","","",
"278","1961-03-04","6","F","7300","Development of Techniques and Proceedures","","","","","","","","","","","",
"279","1961-03-04","8","F","7300","Development of Techniques and Proceedures","","","","","","","","","","","",
"280","1961-03-04","3656","M","7000","Stocks, Breeders, etc.","","","","","","","","","","","",
"281","1961-03-04","2475","M","6400","RadioIodine Effects on Thyroid and Adrenal Gland","","","","","","","","","","","",
"282","1961-03-26","0","M","7300","Development of Techniques and Proceedures","","","","","","","","","","","",
"283","1961-03-26","3","F","7300","Development of Techniques and Proceedures","","","","","","","","","","","",
"284","1961-03-26","3634","F","5500","Life-Span: Single Injection of Cesium-137","","","","","","","","","","","",
"285","1961-03-26","3385","M","5500","Life-Span: Single Injection of Cesium-137","","","","","","","","","","","",
"286","1961-03-26","4","M","7300","Development of Techniques and Proceedures","","","","","","","","","","","",
"287","1961-03-26","6","M","7300","Development of Techniques and Proceedures","","","","","","","","","","","",
"288","1961-03-27","3","F","7300","Development of Techniques and Proceedures","","","","","","","","","","","",
"289","1961-03-27","3","F","7300","Development of Techniques and Proceedures","","","","","","","","","","","",
"290","1961-03-27","3","F","7300","Development of Techniques and Proceedures","","","","","","","","","","","",
"291","1961-03-27","2","M","7300","Development of Techniques and Proceedures","","","","","","","","","","","",
"292","1961-03-27","3","M","7300","Development of Techniques and Proceedures","","","","","","","","","","","",
"293","1961-03-27","3","M","7300","Development of Techniques and Proceedures","","","","","","","","","","","",
"294","1961-04-08","0","F","8400","Stocks, Breeders, etc.","","","","","","","","","","","",
"295","1961-04-08","0","M","8400","Stocks, Breeders, etc.","","","","","","","","","","","",
"296","1961-04-08","102","F","10","Stocks, Breeders, etc.","","","","","","","","","","","",
"297","1961-04-08","102","M","10","Stocks, Breeders, etc.","","","","","","","","","","","",
"298","1961-04-08","471","M","10","Stocks, Breeders, etc.","","","","","","","","","","","",
"299","1961-04-08","471","M","10","Stocks, Breeders, etc.","","","","","","","","","","","",
"300","1961-04-09","0","F","8400","Stocks, Breeders, etc.","","","","","","","","","","","",
"301","1961-04-18","5680","F","100","Stocks, Breeders, etc.","","","","","","","","","","","",
"302","1961-04-18","1064","F","5100","Acute Exposure and Reticuloendothelial System","","","","","","","","","","","",
"303","1961-04-18","414","F","5100","Acute Exposure and Reticuloendothelial System","","","","","","","","","","","",
"304","1961-04-18","3543","M","7100","Development of Techniques and Proceedures","","","","","","","","","","","",
"305","1961-04-20","2701","F","220","Stocks, Breeders, etc.","","","","","","","","","","","",
"306","1961-04-20","3640","F","6000","RadioIodine Effects on Thyroid and Adrenal Gland","","","","","","","","","","","",
"307","1961-04-20","397","F","10","Stocks, Breeders, etc.","","","","","","","","","","","",
"308","1961-04-20","1191","F","220","Stocks, Breeders, etc.","","","","","","","","","","","",
"309","1961-04-23","1025","F","10","Stocks, Breeders, etc.","","","","","","","","","","","",
"310","1961-04-23","3621","M","7100","Development of Techniques and Proceedures","","","","","","","","","","","",
"311","1961-04-23","3624","M","7100","Development of Techniques and Proceedures","","","","","","","","","","","",
