"o","l"
-0.56,8.73041198260765e-26
-0.55,1.47087615040976e-25
-0.54,2.8569568065044e-25
-0.53,6.40489008431999e-25
-0.52,1.6539627469027e-24
-0.51,4.89407313694284e-24
-0.5,1.64561680514968e-23
-0.49,6.21854288138233e-23
-0.48,2.60593616047749e-22
-0.47,1.19306024137103e-21
-0.46,5.87323577687995e-21
-0.45,3.05893242935057e-20
-0.44,1.6589068509427e-19
-0.43,9.22668679054933e-19
-0.42,5.18966027324753e-18
-0.41,2.91466360090467e-17
-0.4,1.61631768963538e-16
-0.39,8.76493150443278e-16
-0.38,4.60996525128979e-15
-0.37,2.33578331336185e-14
-0.36,1.13390948126315e-13
-0.35,5.25136056938619e-13
-0.34,2.31261490224853e-12
-0.33,9.66184031159721e-12
-0.32,3.82358524299284e-11
-0.31,1.43204768848378e-10
-0.3,5.07443713302559e-10
-0.29,1.7015147286407e-09
-0.28,5.4018769027083e-09
-0.27,1.62516345097044e-08
-0.26,4.63859443070813e-08
-0.25,1.25774970158961e-07
-0.24,3.24466410857984e-07
-0.23,7.97650833196796e-07
-0.22,1.87179980285379e-06
-0.21,4.20019285206444e-06
-0.2,9.02850078757042e-06
-0.19,1.86241700980595e-05
-0.18,3.69342534337156e-05
-0.17,7.05409298773534e-05
-0.16,0.000129977532106521
-0.15,0.000231446237605703
-0.14,0.000398939396275496
-0.13,0.000666710683447634
-0.12,0.00108197478212205
-0.11,0.001707643824027
-0.0999999999999999,0.00262484670389689
-0.0899999999999999,0.00393493558637224
-0.0800000000000001,0.00576067261439348
-0.0700000000000001,0.00824631515824327
-0.0600000000000001,0.0115563805975616
-0.05,0.0158729664378488
-0.04,0.0213916182922864
-0.03,0.0283158633241017
-0.02,0.0368506454569672
-0.01,0.0471949975223555
0,0.0595343541121726
0.0100000000000002,0.0740329411323531
0.02,0.0908266725109707
0.0300000000000002,0.110016944179852
0.04,0.131665646764073
0.0499999999999998,0.155791630045984
0.0600000000000001,0.182368753785255
0.0699999999999998,0.211325560134798
0.0800000000000001,0.2425465107087
0.0899999999999999,0.275874652487144
0.1,0.311115515208115
0.11,0.348042000597004
0.12,0.386400000748991
0.13,0.425914477719954
0.14,0.466295746357064
0.15,0.507245724436414
0.16,0.548463944872744
0.17,0.589653160805907
0.18,0.630524412757221
0.19,0.670801465258479
0.2,0.710224556395967
0.21,0.748553436153307
0.22,0.785569697355054
0.23,0.821078425954518
0.24,0.854909215277212
0.25,0.886916601833773
0.26,0.916979988858113
0.27,0.945003128347173
0.28,0.970913233689065
0.29,0.994659793595096
0.3,1.01621315460397
0.31,1.03556293446943
0.32,1.05271632277258
0.33,1.06769631854591
0.34,1.08053994791121
0.35,1.09129649799666
0.36,1.10002579693132
0.37,1.1067965636575
0.38,1.11168484577808
0.39,1.11477255870452
0.4,1.11614613503664
0.41,1.1158952893745
0.42,1.11411190061789
0.43,1.11088901122022
0.44,1.10631994077306
0.45,1.10049750966894
0.46,1.0935133673593
0.47,1.08545741884513
0.48,1.0764173424553
0.49,1.0664781916377
0.5,1.05572207335975
0.51,1.04422789575987
0.52,1.03207117785938
0.53,1.01932391442093
0.54,1.00605448938123
0.55,0.992327631688155
0.56,0.978204407799813
0.57,0.963742245552274
0.58,0.948994984554856
0.59,0.934012948721753
0.6,0.918843036982394
0.61,0.903528828632111
0.62,0.888110700180537
0.63,0.87262595092558
0.64,0.857108934826908
0.65,0.841591196568361
0.66,0.826101609992758
0.67,0.810666517352247
0.68,0.795309868060326
0.69,0.780053355840955
0.7,0.764916553364122
0.71,0.749917043624736
0.72,0.735070547469703
0.73,0.720391046810983
0.74,0.705890903173737
0.75,0.691580971327941
0.76,0.67747070783645
0.77,0.663568274424201
0.78,0.649880636134707
0.79,0.636413654290743
0.8,0.623172174319014
0.81,0.610160108532773
0.82,0.59738051399555
0.83,0.584835665610101
0.84,0.572527124594923
0.85,0.560455802522908
0.86,0.548622021105869
0.87,0.537025567914762
0.88,0.525665748228361
0.89,0.51454143320417
0.9,0.503651104564441
0.91,0.492992895987239
0.92,0.482564631389562
0.93,0.472363860283888
0.94,0.462387890384317
0.95,0.452633817632393
0.96,0.443098553806322
0.97,0.433778851869297
0.98,0.424671329207474
0.99,0.415772488898798
1,0.407078739148762
1.01,0.39858641102016
1.02,0.390291774578741
1.03,0.382191053568134
1.04,0.374280438722058
1.05,0.366556099814667
1.06,0.359014196543852
1.07,0.35165088833631
1.08,0.344462343157919
1.09,0.337444745406735
1.1,0.330594302961622
1.11,0.323907253453663
1.12,0.317379869824195
1.13,0.311008465227187
1.14,0.30478939733128
1.15,0.298719072071755
1.16,0.292793946899345
1.17,0.287010533569679
1.18,0.28136540051352
1.19,0.275855174825132
1.2,0.270476543903286
1.21,0.265226256776827
1.22,0.26010112514414
1.23,0.255098024153606
1.24,0.250213892950299
1.25,0.245445735011537
1.26,0.240790618292803
1.27,0.236245675203452
1.28,0.231808102429835
1.29,0.227475160622652
1.3,0.223244173963178
1.31,0.219112529622489
1.32,0.215077677126045
1.33,0.211137127635299
1.34,0.207288453156908
1.35,0.203529285688957
1.36,0.199857316313211
1.37,0.196270294241234
1.38,0.192766025821595
1.39,0.18934237351485
1.4,0.185997254842235
1.41,0.18272864131344
