"o","LSS_likelihood","Radiobiological_prior","Combined_posterior"
3.04,0.0298304893332755,0.0959098323941349,0.00831745613905368
3.06,0.0294827050767211,0.0949985487996293,0.00814237891590067
3.08,0.0291423377921708,0.0941030561972895,0.00797251097831051
3.1,0.0288091770970123,0.0932230091092705,0.00780766157310608
3.12,0.0284830199039711,0.0923580705521903,0.00764764807606583
3.14,0.028163670125937,0.0915079118289183,0.00749229560203025
3.16,0.0278509383943086,0.0906722123241424,0.00734143663557827
3.18,0.0275446417901723,0.0898506593037199,0.00719491068109556
3.2,0.0272446035876642,0.0890429477179281,0.00705256393113753
3.22,0.0269506530089074,0.0882487800086283,0.00691424895205151
3.24,0.0266626249899412,0.0874678659203605,0.00677982438588351
3.26,0.0263803599570998,0.086699922315417,0.00664915466765965
3.28,0.0261037036133189,0.0859446729928711,0.00652210975717992
3.3,0.0258325067338838,0.0852018485115916,0.00639856488451976
3.32,0.0255666249711547,0.0844711860171778,0.00627840030847574
3.34,0.0253059186678288,0.0837524290728555,0.0061615010872445
3.36,0.0250502526783298,0.0830453274942531,0.0060477568606602
3.38,0.0247994961979258,0.0823496371880602,0.00593706164335847
3.4,0.0245535225992058,0.0816651199945244,0.00582931362827144
3.42,0.024312209275565,0.0809915435336997,0.00572441499989063
3.44,0.0240754374913598,0.0803286810554867,0.00562227175677421
3.46,0.0238430922384195,0.0796763112932956,0.00552279354279388
3.48,0.0236150620986141,0.0790342183213955,0.00542589348666054
3.5,0.0233912391121907,0.0784021914158046,0.00533148804928004
3.52,0.0231715186516134,0.0777800249186929,0.005239496878526
3.54,0.0229557993006459,0.0771675181062503,0.00514984267103672
3.56,0.022743982738436,0.0765644750599275,0.00506245104066445
3.58,0.0225359736283716,0.075970704541005,0.00497725039322904
3.6,0.0223316795114877,0.0753860198684083,0.00489417180724488
3.62,0.0221310107042176,0.0748102387997208,0.00481314892031173
3.64,0.0219338802002898,0.0742431834153167,0.00473411782087455
3.66,0.0217402035765841,0.0736846800055421,0.00465701694507541
3.68,0.021549898902767,0.0731345589608861,0.00458178697843566
3.7,0.0213628866545383,0.0725926546650624,0.00450837076212081
3.72,0.0211790896303261,0.0720588053909622,0.00443671320355568
3.74,0.0209984328712791,0.0715328531993767,0.00436676119116751
3.76,0.0208208435844085,0.0710146438404353,0.00429846351304844
3.78,0.0206462510687404,0.070504026657703,0.00423177077934083
3.8,0.0204745866443505,0.0700008544948728,0.00416663534815935
3.82,0.0203057835841494,0.0695049836049682,0.00410301125487109
3.84,0.0201397770483047,0.0690162735620182,0.00404085414456934
3.86,0.0199765040211831,0.0685345871751174,0.00398012120758089
3.88,0.0198159032507029,0.0680597904048384,0.00392077111785897
3.9,0.0196579151899977,0.0675917522819084,0.00386276397411934
3.92,0.0195024819412888,0.067130344828111,0.00380606124358571
3.94,0.0193495472018736,0.0666754429793366,0.00375062570821709
3.96,0.019199056212143,0.0662269245107474,0.00369642141329809
3.98,0.0190509557055379,0.0657846699639824,0.00364341361827671
4,0.0189051938603688,0.065348562576349,0.00359156874974241
4.02,NA,0.0649184882119564,NA
4.04,NA,0.0644943352947352,NA
4.06,NA,0.0640759947432859,NA
4.08,NA,0.0636633599075183,NA
4.1,NA,0.063256326507012,NA
4.12,NA,0.0628547925710755,NA
4.14,NA,0.0624586583804436,NA
4.16,NA,0.0620678264105588,NA
4.18,NA,0.0616822012764148,NA
4.2,NA,0.0613016896789019,NA
4.22,NA,0.0609262003526106,NA
4.24,NA,0.0605556440150691,NA
4.26,NA,0.0601899333173572,NA
4.28,NA,0.059828982796062,NA
4.3,NA,0.0594727088265492,NA
4.32,NA,0.0591210295774933,NA
4.34,NA,0.058773864966648,NA
4.36,NA,0.058431136617812,NA
4.38,NA,0.0580927678189579,NA
4.4,NA,0.057758683481498,NA
4.42,NA,0.0574288101006447,NA
4.44,NA,0.0571030757168347,NA
4.46,NA,0.0567814098782043,NA
4.48,NA,0.0564637436040584,NA
4.5,NA,0.0561500093493244,NA
4.52,NA,0.0558401409699636,NA
4.54,NA,0.0555340736892929,NA
4.56,NA,0.0552317440652224,NA
4.58,NA,0.0549330899583479,NA
4.6,NA,0.0546380505009082,NA
4.62,NA,0.0543465660665506,NA
4.64,NA,0.0540585782409056,NA
4.66,NA,0.0537740297929395,NA
4.68,NA,0.0534928646470593,NA
4.7,NA,0.0532150278559519,NA
4.72,NA,0.0529404655741368,NA
4.74,NA,0.0526691250322152,NA
4.76,NA,0.0524009545117911,NA
4.78,NA,0.0521359033210396,NA
4.8,NA,0.0518739217709263,NA
4.82,NA,0.0516149611520285,NA
4.84,NA,0.0513589737119711,NA
4.86,NA,0.0511059126334371,NA
4.88,NA,0.0508557320127461,NA
4.9,NA,0.0506083868389918,NA
4.92,NA,0.0503638329737105,NA
4.94,NA,0.0501220271310673,NA
4.96,NA,0.0498829268585523,NA
4.98,NA,0.0496464905181743,NA
5,NA,0.0494126772681249,NA
5.02,NA,0.0491814470449124,NA
5.04,NA,0.0489527605459465,NA
5.06,NA,0.048726579212567,NA
5.08,NA,0.0485028652134902,NA
5.1,NA,0.0482815814286896,NA
5.12,NA,0.0480626914336595,NA
5.14,NA,0.047846159484088,NA
5.16,NA,0.0476319505009057,NA
5.18,NA,0.047420030055708,NA
5.2,NA,0.0472103643565403,NA
5.22,NA,0.0470029202340315,NA
5.24,NA,0.0467976651278785,NA
5.26,NA,0.0465945670736529,NA
5.28,NA,0.0463935946899375,NA
5.3,NA,0.0461947171657832,NA
5.32,NA,0.0459979042484599,NA
5.34,NA,0.0458031262315215,NA
5.36,NA,0.0456103539431458,NA
5.38,NA,0.0454195587347699,NA
5.4,NA,0.0452307124699945,NA
5.42,NA,0.0450437875137544,NA
5.44,NA,0.0448587567217568,NA
5.46,NA,0.0446755934301651,NA
5.48,NA,0.0444942714455335,NA
5.5,NA,0.0443147650349874,NA
5.52,NA,0.0441370489166214,NA
5.54,NA,0.0439610982501487,NA
5.56,NA,0.0437868886277491,NA
5.58,NA,0.04361439606515,NA
5.6,NA,0.0434435969929089,NA
5.62,NA,0.0432744682479036,NA
5.64,NA,0.0431069870650213,NA
5.66,NA,0.0429411310690424,NA
5.68,NA,0.0427768782667145,NA
5.7,NA,0.0426142070390071,NA
5.72,NA,0.0424530961335496,NA
5.74,NA,0.0422935246572447,NA
5.76,NA,0.0421354720690475,NA
5.78,NA,0.0419789181729161,NA
5.8,NA,0.0418238431109203,NA
5.82,NA,0.041670227356509,NA
5.84,NA,0.0415180517079336,NA
5.86,NA,0.041367297281817,NA
5.88,NA,0.0412179455068705,NA
5.9,NA,0.0410699781177544,NA
5.92,NA,0.0409233771490738,NA
5.94,NA,0.040778124929513,NA
5.96,NA,0.0406342040761024,NA
5.98,NA,0.0404915974886048,NA
6,NA,0.0403502883440426,NA
